,word,freq
0,beer,1524
1,head,1107
2,'s,900
3,chocolate,875
4,’,867
5,dark,838
6,taste,832
7,notes,685
8,bourbon,684
9,like,680
10,sweet,666
11,good,658
12,coffee,648
13,one,636
14,vanilla,602
15,light,584
16,nose,578
17,nice,576
18,well,552
19,body,534
20,black,526
21,bit,511
22,aroma,509
23,bottle,507
24,carbonation,497
25,barrel,490
26,white,475
27,medium,466
28,fruit,461
29,really,460
30,pours,459
31,orange,458
32,finish,450
33,thick,450
34,flavor,439
35,great,423
36,malt,421
37,citrus,414
38,brown,414
39,smooth,411
40,oak,401
41,n't,394
42,stout,388
43,little,386
44,mouthfeel,385
45,overall,381
46,color,365
47,glass,364
48,poured,353
49,lacing,348
50,full,346
51,creamy,346
52,feel,339
53,flavors,331
54,bitterness,320
55,much,319
56,caramel,305
57,rich,295
58,sweetness,287
59,br/,281
60,smell,280
61,hop,277
62,dry,275
63,get,267
64,still,260
65,hops,257
66,bitter,256
67,hazy,253
68,tropical,248
69,alcohol,248
70,balanced,246
71,slightly,243
72,big,243
73,best,242
74,quite,238
75,would,235
76,maple,233
77,slight,233
78,grapefruit,231
79,cinnamon,229
80,strong,229
81,roasted,220
82,pineapple,209
83,back,209
84,almost,209
85,thin,208
86,tart,207
87,mango,207
88,abv,205
89,time,203
90,wine,202
91,hint,201
92,also,201
93,deep,201
94,funk,198
95,end,197
96,pour,197
97,malts,194
98,peach,193
99,palate,192
100,touch,191
101,moderate,191
102,boozy,190
103,coconut,189
104,ipa,188
105,way,188
106,fresh,188
107,pretty,187
108,excellent,186
109,juicy,184
110,molasses,183
111,even,183
112,soft,182
113,sour,182
114,'m,177
115,bodied,177
116,balance,177
117,beers,176
118,first,176
119,complex,175
120,sugar,175
121,...,173
122,lemon,172
123,finger,168
124,drink,168
125,front,167
126,earthy,167
127,retention,166
128,quickly,165
129,heavy,162
130,smells,161
131,around,161
132,aromas,160
133,character,160
134,definitely,159
135,fruits,156
136,cherry,156
137,style,156
138,tan,155
139,'ve,155
140,pine,155
141,toffee,154
142,juice,153
143,perfect,153
144,'',151
145,mild,150
146,mouth,148
147,follows,148
148,fruity,147
149,bright,147
150,super,145
151,lots,143
152,think,141
153,aged,141
154,fantastic,140
155,amp,139
156,lot,139
157,could,138
158,foam,137
159,finishes,136
160,yellow,136
161,better,136
162,green,135
163,look,133
164,profile,133
165,try,132
166,top,132
167,heat,132
168,long,130
169,small,129
170,``,128
171,brew,127
172,appearance,127
173,dank,127
174,red,127
175,sip,126
176,delicious,126
177,years,125
178,solid,125
179,maybe,124
180,sticky,124
181,along,123
182,old,122
183,subtle,122
184,leaves,121
185,floral,121
186,ever,120
187,ba,120
188,high,118
189,vintage,118
190,canned,116
191,right,115
192,roast,115
193,golden,112
194,toasted,111
195,amazing,110
196,clear,110
197,stouts,109
198,got,108
199,syrup,108
200,opaque,107
201,expected,107
202,cocoa,107
203,hints,107
204,roasty,106
205,spice,106
206,though,105
207,amount,105
208,enough,104
209,huge,104
210,ale,104
211,ring,103
212,pepper,102
213,oz,102
214,worth,102
215,pale,102
216,2021,102
217,milk,101
218,less,101
219,without,101
220,comes,101
221,house,101
222,raspberry,100
223,fluffy,99
224,tastes,98
225,yet,98
226,imperial,98
227,2020,98
228,note,98
229,love,97
230,presence,97
231,clean,96
232,lingering,96
233,acidity,96
234,tangerine,96
235,spicy,95
236,melon,94
237,oily,94
238,minimal,94
239,wonderful,93
240,beautiful,93
241,bite,93
242,base,92
243,two,92
244,world,92
245,something,91
246,apricot,91
247,low,91
248,easy,90
249,complexity,90
250,cap,90
251,see,89
252,tasting,89
253,hoppy,89
254,sure,88
255,5,88
256,another,88
257,stone,88
258,gold,87
259,brings,87
260,booze,86
261,tree,86
262,warming,86
263,tulip,86
264,tasty,86
265,looks,86
266,side,86
267,drinking,85
268,blend,85
269,nicely,84
270,say,84
271,colored,84
272,warms,83
273,never,83
274,incredible,82
275,fairly,81
276,fades,81
277,brewery,81
278,version,81
279,char,80
280,review,79
281,4,79
282,favorite,79
283,tartness,79
284,funky,78
285,apple,77
286,tap,77
287,wood,77
288,forward,77
289,tobacco,77
290,every,77
291,2,76
292,day,76
293,nothing,75
294,licorice,75
295,leaving,75
296,sharp,75
297,bready,75
298,find,75
299,done,75
300,mocha,75
301,lightly,74
302,followed,74
303,herbal,74
304,decent,74
305,fine,74
306,away,73
307,fudge,73
308,going,73
309,date,73
310,malty,73
311,snifter,72
312,–,72
313,leather,72
314,makes,72
315,know,72
316,grape,71
317,ripe,71
318,outstanding,70
319,tongue,70
320,dense,70
321,mostly,70
322,hard,70
323,many,69
324,thing,69
325,bubbles,69
326,crisp,69
327,absolutely,69
328,half,69
329,'d,68
330,nearly,68
331,everything,68
332,made,68
333,probably,67
334,drinkable,67
335,overly,67
336,want,67
337,intense,66
338,stuff,66
339,burnt,66
340,looking,66
341,cloudy,66
342,together,66
343,burn,66
344,getting,65
345,bottled,65
346,foamy,65
347,double,65
348,cream,65
349,3,65
350,wild,65
351,enjoyed,64
352,real,64
353,piney,63
354,oil,63
355,somewhat,63
356,raisin,63
357,aftertaste,63
358,present,62
359,bread,62
360,pleasant,61
361,l,61
362,class,61
363,amber,61
364,finally,61
365,12,61
366,enjoy,61
367,fingers,60
368,always,60
369,wow,60
370,2019,60
371,come,60
372,frothy,60
373,rather,60
374,make,60
375,glad,60
376,served,59
377,faint,59
378,new,59
379,experience,59
380,yeast,59
381,chewy,59
382,neipa,59
383,papaya,59
384,zest,59
385,barrels,59
386,silky,58
387,oaky,58
388,might,58
389,figs,58
390,tried,58
391,middle,58
392,resin,58
393,year,57
394,batch,57
395,--,57
396,wet,57
397,hype,57
398,2018,57
399,seems,57
400,throughout,57
401,texture,57
402,bold,57
403,certainly,56
404,”,56
405,slick,56
406,extremely,56
407,anything,56
408,far,56
409,whiskey,56
410,let,56
411,classic,56
412,“,55
413,grassy,55
414,may,55
415,depth,55
416,jet,54
417,actually,54
418,plenty,54
419,take,54
420,truly,54
421,enjoyable,54
422,slowly,54
423,warmth,54
424,viscous,54
425,off-white,54
426,last,53
427,different,53
428,2022,53
429,lime,53
430,gentle,53
431,hot,53
432,peel,53
433,grass,52
434,loads,52
435,coming,52
436,go,52
437,similar,52
438,hay,52
439,resinous,52
440,aging,52
441,murky,52
442,16oz,51
443,pint,51
444,dried,51
445,found,51
446,16,51
447,raisins,50
448,ca,50
449,rated,50
450,swallow,50
451,warm,50
452,charred,50
453,age,50
454,drank,49
455,cherries,49
456,lingers,49
457,tons,49
458,syrupy,49
459,collar,49
460,plum,49
461,mix,49
462,rind,49
463,perfectly,49
464,bomb,48
465,average,48
466,given,48
467,woody,48
468,left,48
469,guava,48
470,raspberries,48
471,peppery,48
472,behind,48
473,honey,47
474,consumed,47
475,dissipates,47
476,inch,47
477,rating,47
478,acidic,47
479,dated,47
480,initial,47
481,hits,47
482,highly,47
483,interesting,47
484,picking,47
485,ipas,47
486,else,47
487,hill,47
488,feels,46
489,moderately,46
490,release,46
491,kind,46
492,velvety,46
493,awesome,46
494,grain,46
495,thanks,46
496,short,46
497,lighter,46
498,tasted,45
499,coast,45
500,background,45
501,rye,45
502,12oz,45
503,lace,45
504,vinegar,45
505,pitch,45
506,perhaps,45
507,start,45
508,bad,45
509,bean,45
510,impressive,45
511,brewing,44
512,citrusy,44
513,west,44
514,level,44
515,espresso,44
516,effervescence,44
517,courtesy,44
518,barleywine,44
519,share,44
520,fridge,44
521,wheat,44
522,adds,44
523,across,44
524,goes,43
525,liquid,43
526,carb,43
527,cake,43
528,porter,43
529,toasty,43
530,thought,43
531,mid-palate,42
532,smoke,42
533,noticeable,42
534,candied,42
535,backbone,42
536,expect,41
537,dipa,41
538,peaches,41
539,fig,41
540,surprisingly,41
541,edge,41
542,damn,40
543,drinks,40
544,gets,40
545,wish,40
546,give,40
547,straw,40
548,passionfruit,40
549,haze,40
550,decadent,40
551,gives,40
552,incredibly,39
553,point,39
554,held,39
555,months,39
556,6,39
557,saison,39
558,refreshing,39
559,however,39
560,completely,39
561,carbonated,38
562,chili,38
563,motor,38
564,wonderfully,38
565,barnyard,38
566,lambic,38
567,2016,38
568,grapes,38
569,quality,38
570,starts,38
571,unique,38
572,ml,38
573,purchased,38
574,part,38
575,fizzy,37
576,100,37
